"artist","artist_code","baseline","06/01/23"
"VRSS","1o963gG7zP39nwOenqzPg2",1690,1591
"Arcy Drive","7o1TBmx7Ube5h2Czlam84O",141332,146278
"DNL","7aXH52JKx39Q5PprJmFxXu",10323,6464
"Keiran Ivy","0wzHzFNLOLex8psv09KqNK",23428,28868
"KHI INFINITE","6wthNkb9tOcsMdNtrHI5vs",426971,559950
