"artist","artist_code","baseline","06/01/23"
"Gibs","6UEqUjzkCgVcEgJ5avKeFv",4774,5675
"DJ Chus","7kxOVclB0zQamtBR0syCrg",248524,244349
"Crackazat","2PagBkTVHoKFjuxtCJp3As",211869,212675
"Tiny Habits","2QYdqWGgRorVkA8cJMMdrn",195807,187473
"Mall Grab","7yF6JnFPDzgml2Ytkyl5D7",780378,817521
