"artist","artist_code","baseline","06/01/23"
"semiratuth","6vjKiruwh9k8dDi1rYvI82",1248,1228
"Emanuel Satie","3veg7sFGWTk62Ecwj6mzij",97818,97787
"MELT","0G7KI9I5BApiXc5Sqpyil9",140738,142741
"Murphys Law","1q85MRE0aEF6NfZQdlMrl1",92716,110645
"Ray Vaughan","4yYYCSCDUTypErQMZv5iSg",335847,323310
