"artist","artist_code","baseline","06/01/23"
"Cinya Khan","7nv9u1rH0xrKytpgKfDKfz",2745,3163
"Flaujae","5IQcgEvxwvq8kwy4iWCiBC",124864,117814
"Daoud","3e76yvk1gLZQhKZiUHkMsP",33168,12593
"YPC Nige","13crAKmlVhj6yzOO9fuOmF",30521,32791
"jamesjamesjames","0DqR5aQYPz1s2M3YbycLMJ",630692,630665
